war,coupled,coupled_mma,decoupled,branch,coupled_bindless,decoupled_bindless,hfma2_mma,to_ur,tex,tma,rpcmov_64,udp,uldc,umov,elect,r2ur,voteu
coupled,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
coupled_mma,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
decoupled,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
branch,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
coupled_bindless,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
decoupled_bindless,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
hfma2_mma,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
to_ur,1,1,1,1,1,1,1,1 & sb,1,1 & sb,1,1,1,1,1,none,none
tex,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
tma,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
rpcmov_64,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
udp,1,1,1,1,1,1,1,1 & sb,1,1 & sb,1,1,1,1,1,none,none
uldc,1,1,1,1,1,1,1,1 & sb,1,1 & sb,1,3,1,1,1,none,none
umov,1,1,1,1,1,1,1,1 & sb,1,1 & sb,1,3,1,1,1,none,none
elect,1,1,1,1,1,1,1,1 & sb,1,1 & sb,1,3,1,1,1,none,none
r2ur,1,1,1,1,1,1,1,1 & sb,1,1 & sb,1,1,1,1,1,none,none
voteu,1,1,1,1,1,1,1,1 & sb,1,1 & sb,1,3,1,1,1,none,none
